Year_Fraction,Smoothed_GIA
2009.4089230,6.84
2009.4360890,7.12
2009.4632560,7.62
2009.4904220,8.39
2009.5175880,9.51
2009.5447540,10.93
2009.5719200,12.48
2009.5990860,13.97
2009.6262520,15.37
2009.6534190,16.73
2009.6805850,18.02
2009.7077510,19.17
2009.7349170,20.09
2009.7620830,20.79
2009.7892490,21.25
2009.8164150,21.41
2009.8435820,21.11
2009.8707480,20.33
2009.8979140,19.20
2009.9250800,17.98
2009.9522460,16.87
2009.9794120,15.88
2010.0065790,14.98
2010.0337450,14.19
2010.0609110,13.72
2010.0880770,13.72
2010.1152430,14.09
2010.1424090,14.45
2010.1695750,14.40
2010.1967420,13.85
2010.2239080,13.06
2010.2510740,12.35
2010.2782400,11.89
2010.3054060,11.71
2010.3325720,11.82
2010.3597390,12.22
2010.3869050,12.81
2010.4140710,13.43
2010.4412370,13.93
2010.4684030,14.25
2010.4955690,14.39
2010.5227350,14.41
2010.5499020,14.38
2010.5770680,14.35
2010.6042340,14.35
2010.6314000,14.41
2010.6585660,14.55
2010.6857320,14.78
2010.7128990,15.10
2010.7400650,15.46
2010.7672310,15.75
2010.7943970,15.80
2010.8215630,15.45
2010.8487290,14.67
2010.8758950,13.61
2010.9030620,12.55
2010.9302280,11.70
2010.9573940,11.07
2010.9845600,10.53
2011.0117260,10.00
2011.0388920,9.53
2011.0660590,9.17
2011.0932250,8.94
2011.1203910,8.71
2011.1475570,8.33
2011.1747230,7.74
2011.2018890,7.02
2011.2290550,6.34
2011.2562220,5.84
2011.2833880,5.56
2011.3105540,5.54
2011.3377200,5.84
2011.3648860,6.50
2011.3920520,7.51
2011.4192180,8.71
2011.4463850,9.92
2011.4735510,10.97
2011.5007170,11.84
2011.5278830,12.71
2011.5550490,13.82
2011.5822150,15.24
2011.6093820,16.81
2011.6365480,18.20
2011.6637140,19.22
2011.6908800,19.93
2011.7180460,20.47
2011.7452120,20.89
2011.7723780,21.02
2011.7995450,20.68
2011.8267110,19.97
2011.8538770,19.20
2011.8810430,18.68
2011.9082090,18.43
2011.9353750,18.32
2011.9625420,18.28
2011.9897080,18.35
2012.0168280,18.55
2012.0439200,18.84
2012.0710120,19.09
2012.0981040,19.16
2012.1251950,18.99
2012.1522870,18.61
2012.1793790,18.12
2012.2064710,17.69
2012.2335630,17.42
2012.2606550,17.31
2012.2877470,17.30
2012.3148390,17.33
2012.3419310,17.43
2012.3690230,17.72
2012.3961150,18.30
2012.4232070,19.21
2012.4502990,20.35
2012.4773910,21.64
2012.5044820,23.02
2012.5315740,24.35
2012.5586660,25.50
2012.5857580,26.38
2012.6128500,27.10
2012.6399420,27.92
2012.6670340,28.99
2012.6941260,30.23
2012.7212180,31.35
2012.7483100,32.08
2012.7754020,32.31
2012.8024940,32.13
2012.8295860,31.76
2012.8566770,31.36
2012.8837690,30.98
2012.9108610,30.59
2012.9379530,30.10
2012.9650450,29.49
2012.9921370,28.85
2013.0192820,28.31
2013.0464480,28.01
2013.0736140,27.68
2013.1007800,27.44
2013.1279460,27.16
2013.1551130,26.87
2013.1822790,26.51
2013.2094450,25.92
2013.2366110,25.02
2013.2637770,23.96
2013.2909430,23.04
2013.3181090,22.35
2013.3452760,21.80
2013.3724420,21.37
2013.3996080,21.27
2013.4267740,21.11
2013.4539400,21.38
2013.4811060,21.90
2013.5082720,22.66
2013.5354390,23.38
